SITE,BO95_1,BO95_2,BO95_3,BO95_4,BO95_5,BO95_6,BO95_7,BO95_8,BO95_9,BO95_10,BO95_11,BO95_12,BO96_1,BO96_2,BO96_3,BO96_4,BO96_5,BO96_6,BO96_7,BO96_8,BO96_9,BO96_10,BO96_11,BO96_12,BO97_1,BO97_2,BO97_3,BO97_4,BO97_5,BO97_6,BO97_7,BO97_8,BO97_9,BO97_10,BO97_11,BO97_12,BO98_1,BO98_2,BO98_3,BO98_4,BO98_5,BO98_6,BO98_7,BO98_8,BO98_9,BO98_10,BO98_11,BO98_12,BO99_1,BO99_2,BO99_3,BO99_4,BO99_5,BO99_6,BO99_7,BO99_8,BO99_9,BO99_10,BO99_11,BO99_12,BO00_1,BO00_2,BO00_3,BO00_4,BO00_5,BO00_6,BO00_7,BO00_8,BO00_9,BO00_10,BO00_11,BO00_12,BO01_1,BO01_2,BO01_3,BO01_4,BO01_5,BO01_6,BO01_7,BO01_8,BO01_9,BO01_10,BO01_11,BO01_12,BO02_1,BO02_2,BO02_3,BO02_4,BO02_5,BO02_6,BO02_7,BO02_8,BO02_9,BO02_10,BO02_11,BO02_12,BO03_1,BO03_2,BO03_3,BO03_4,BO03_5,BO03_6,BO03_7,BO03_8,BO03_9,BO03_10,BO03_11,BO03_12,BO04_1,BO04_2,BO04_3,BO04_4,BO04_5,BO04_6,BO04_7,BO04_8,BO04_9,BO04_10,BO04_11,BO04_12,BO05_1,BO05_2,BO05_3,BO05_4,BO05_5,BO05_6,BO05_7,BO05_8,BO05_9,BO05_10,BO05_11,BO05_12,BO06_1,BO06_2,BO06_3,BO06_4,BO06_5,BO06_6,BO06_7,BO06_8,BO06_9,BO06_10,BO06_11,BO06_12,BO07_1,BO07_2,BO07_3,BO07_4,BO07_5,BO07_6,BO07_7,BO07_8,BO07_9,BO07_10,BO07_11,BO07_12,BO08_1,BO08_2,BO08_3,BO08_4,BO08_5,BO08_6,BO08_7,BO08_8,BO08_9,BO08_10,BO08_11,BO08_12,BO09_1,BO09_2,BO09_3,BO09_4,BO09_5,BO09_6,BO09_7,BO09_8,BO09_9,BO09_10,BO09_11,BO09_12,BO10_1,BO10_2,BO10_3,BO10_4,BO10_5,BO10_6,BO10_7,BO10_8,BO10_9,BO10_10,BO10_11,BO10_12,BO11_1,BO11_2,BO11_3,BO11_4,BO11_5,BO11_6,BO11_7,BO11_8,BO11_9,BO11_10,BO11_11,BO11_12,BO12_1,BO12_2,BO12_3,BO12_4,BO12_5,BO12_6,BO12_7,BO12_8,BO12_9,BO12_10,BO12_11,BO12_12,BO13_1,BO13_2,BO13_3,BO13_4,BO13_5,BO13_6,BO13_7,BO13_8,BO13_9,BO13_10,BO13_11,BO13_12,BO14_1,BO14_2,BO14_3,BO14_4,BO14_5,BO14_6,BO14_7,BO14_8,BO14_9,BO14_10,BO14_11,BO14_12,BO15_1,BO15_2,BO15_3,BO16_1,BO16_2,BO16_3,OV15_1,OV15_2,OV15_3,OV16_1,OV16_2,OV16_3,PHAB_95,PHAB_96,PHAB_97,PHAB_98,PHAB_99,PHAB_00,PHAB_01,PHAB_02,PHAB_03,PHAB_04,PHAB_05,PHAB_06,PHAB_07,PHAB_08,PHAB_09,PHAB_10,PHAB_11,PHAB_12,PHAB_13,PHAB_14,PHAB_15
59,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,1,NA,NA,0,NA,0,NA,0,0,0,NA,1,NA,NA,0,NA,0,NA,1,NA,NA,1,0,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,1,NA,0,NA,0,NA,NA,0,NA,NA,1,NA,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,2,2,NA,NA,NA,0.334,0.146,1,0,0,0,0.189,0.193,0.196,0.195,0.199,0.197,0.2,0.201,0.207,0.211,0.204,0.208,0.197,0.164,0.161,0.158,0.162,0.169,0.168,0.167,0.167
60,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,NA,1,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,NA,1,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,1,1,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0,0,0.767,0,0,0,0.162,0.159,0.154,0.148,0.139,0.134,0.133,0.132,0.134,0.133,0.134,0.133,0.132,0.13,0.128,0.131,0.131,0.128,0.128,0.128,0.128
61,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,1,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,0,1,1,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,1,0,2,2,3,0,0.935,0.46,0.993,1,0.767,0.542,0.545,0.541,0.54,0.538,0.539,0.54,0.54,0.54,0.542,0.541,0.544,0.542,0.538,0.534,0.534,0.534,0.532,0.532,0.53,0.53
62,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,NA,NA,0,1,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,0,NA,NA,0,0,1,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,0,1,NA,NA,0,NA,0,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,1,NA,NA,0,1,3,7,4,0,0.662,0.737,0.379,0.737,0.993,0.386,0.386,0.388,0.387,0.386,0.388,0.389,0.388,0.39,0.389,0.389,0.389,0.386,0.386,0.381,0.38,0.378,0.375,0.375,0.375,0.375
63,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,0,NA,NA,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0.089,1,0,0,0,0.139,0.139,0.142,0.142,0.142,0.142,0.14,0.142,0.143,0.143,0.142,0.141,0.141,0.137,0.139,0.133,0.129,0.126,0.125,0.123,0.123
64,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,1,0,0,NA,1,0,NA,NA,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,1,2,5,NA,NA,NA,0.662,0.265,1,0,0,0,0.344,0.344,0.347,0.346,0.348,0.348,0.349,0.35,0.355,0.36,0.366,0.365,0.361,0.359,0.363,0.366,0.361,0.342,0.34,0.34,0.34
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,1,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,2,1,1,5,3,0,0.849,0.849,0.277,0.849,1,0.197,0.2,0.202,0.201,0.201,0.199,0.202,0.205,0.209,0.209,0.209,0.203,0.203,0.203,0.204,0.205,0.204,0.195,0.193,0.193,0.193
66,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,1,NA,NA,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,0,NA,1,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,1,0,1,0,NA,NA,NA,0,0,NA,1,1,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,1,0,NA,NA,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0.663,0,0,0,0,0.277,0.607,0.607,0.604,0.603,0.604,0.602,0.603,0.604,0.606,0.605,0.606,0.61,0.611,0.607,0.606,0.604,0.604,0.597,0.595,0.592,0.587
67,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,5,1,NA,NA,NA,0,0.622,1,0,0,0,0.123,0.126,0.123,0.122,0.125,0.124,0.118,0.116,0.118,0.126,0.124,0.13,0.13,0.119,0.119,0.112,0.104,0.104,0.095,0.088,0.078
68,NA,0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,1,0,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,3,NA,4,0,0.76,0.088,0.617,0.067,1,0.387,0.39,0.386,0.386,0.386,0.384,0.389,0.39,0.394,0.398,0.399,0.404,0.403,0.4,0.395,0.392,0.386,0.38,0.38,0.376,0.376
69,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,0,0,1,NA,NA,0,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,4,5,NA,NA,NA,0.05,0.962,0.985,0,0,0,0.291,0.291,0.291,0.29,0.291,0.293,0.291,0.293,0.292,0.291,0.295,0.292,0.292,0.293,0.291,0.288,0.284,0.283,0.283,0.282,0.279
70,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,9,5,6,NA,NA,NA,0.958,0.871,1,0,0,0,0.333,0.334,0.333,0.336,0.333,0.338,0.336,0.335,0.334,0.338,0.341,0.333,0.331,0.321,0.315,0.314,0.308,0.307,0.307,0.307,0.307
71,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,1,NA,0,0,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,0,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,1,1,0,1,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,1,0,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,4,2,4,1,3,4,0.54,0.87,0.87,0.506,0.506,1,0.37,0.372,0.368,0.371,0.373,0.363,0.36,0.36,0.363,0.358,0.357,0.354,0.341,0.336,0.331,0.329,0.329,0.325,0.325,0.324,0.32
72,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,1,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,1,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,NA,NA,1,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,1,NA,1,NA,NA,NA,1,NA,NA,0,NA,0,0,NA,NA,0,0,1,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2,3,2,2,6,0.023,0.743,0.706,0.41,0.395,0.87,0.407,0.405,0.402,0.4,0.396,0.399,0.396,0.397,0.393,0.383,0.385,0.381,0.374,0.369,0.363,0.36,0.365,0.36,0.36,0.357,0.357
73,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,0,NA,0,0,0,NA,1,NA,NA,0,0,0,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,0,0,1,1,NA,1,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,1,0,0,2,1,0.386,0.443,0.596,0.253,0.403,0.706,0.523,0.524,0.525,0.525,0.531,0.532,0.536,0.541,0.543,0.548,0.553,0.549,0.552,0.552,0.554,0.548,0.55,0.535,0.528,0.526,0.526
74,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,NA,1,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,1,0,NA,NA,1,NA,NA,NA,0,0,NA,1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,3,3,NA,NA,NA,0.304,0.092,0.891,0,0,0,0.31,0.311,0.311,0.309,0.31,0.312,0.313,0.312,0.313,0.314,0.317,0.311,0.311,0.309,0.309,0.31,0.312,0.303,0.303,0.301,0.301
